x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,y0,y1,y2,y3,y4,y5
1,3,2,1,2,1,1,2,12.5,5,2.743308942,0.068818136,100000,0,1000,1,3.125,0.771149909,0.038557495,473.0622967,41.02187602,0.052619782,0.023280846,0.026993636,0.010052071,423.5057999,0.006732993,0.120148658,0.013903154,0.005555266,0.115716268,0.233824334,0.386441661,4.932161096,0.067819916,0.036480877,36.77307376,0.001254423,0.104106605,0.526905982,0.001399114,0.530895329,0.224944438,11.2925,0.214467183,0.42873922,0.247431196,0.259234689,0.138028451,0.073395397,0.23035002,1.55E-05,1.55E-05,2.90819,5.4618,2.23935
1,3,2,1,2,1,1,2,12.5,5,2.743308942,0.068818136,100000,0,1000,1,3.125,0.771149909,0.038557495,473.0622967,41.02187602,0.052619782,0.023280846,0.026993636,0.010052071,423.5057999,0.006732993,0.480594632,0.055612617,0.022221065,0.115716268,3.74118935,1.545766645,4.932161096,0.271279665,0.145923507,36.77307376,0.005017693,0.41642642,2.107623927,0.005596456,2.123581316,0.224944438,11.2925,0.85786873,1.714956879,0.989724782,1.036938754,0.552113804,0.29358159,0.996257622,6.71E-05,6.71E-05,21.7651,23.602,15.0609
1,3,2,1,2,1,1,2,12.5,5,2.743308942,0.068818136,100000,0,1000,1,3.125,0.771149909,0.038557495,473.0622967,41.02187602,0.052619782,0.023280846,0.026993636,0.010052071,423.5057999,0.006732993,0.841040605,0.09732208,0.038886864,0.115716268,11.45739238,2.705091629,4.932161096,0.474739414,0.255366137,36.77307376,0.008780962,0.728746235,3.688341872,0.009793799,3.716267304,0.224944438,11.2925,1.501270278,3.001174538,1.732018369,1.81464282,0.966199157,0.513767782,1.989986564,0.000133986,0.000133986,55.775,42.4165,62.5939
1,3,2,1,2,1,1,2,12.5,5,2.743308942,0.068818136,100000,0,1000,1,3.125,0.771149909,0.038557495,473.0622967,41.02187602,0.052619782,0.023280846,0.026993636,0.010052071,423.5057999,0.006732993,1.201486579,0.139031543,0.055552662,0.115716268,23.38243343,3.864416613,4.932161096,0.678199162,0.364808767,36.77307376,0.012544232,1.04106605,5.269059818,0.013991141,5.308953291,0.224944438,11.2925,2.144671825,4.287392197,2.474311956,2.592346886,1.38028451,0.733953974,3.050799328,0.00020541,0.00020541,94.0393,62.3246,112.853
1,3,2,1,2,1,1,2,12.5,5,2.743308942,0.068818136,100000,0,1000,1,3.125,0.771149909,0.038557495,473.0622967,41.02187602,0.052619782,0.023280846,0.026993636,0.010052071,423.5057999,0.006732993,1.561932553,0.180741006,0.072218461,0.115716268,39.5163125,5.023741597,4.932161096,0.881658911,0.474251398,36.77307376,0.016307501,1.353385865,6.849777763,0.018188483,6.901639278,0.224944438,11.2925,2.788073373,5.573609855,3.216605543,3.370050952,1.794369863,0.954140166,12.05771335,0.000811845,0.000811845,132.965,76.2625,165.667
1,3,2,1,2,1,1,2,12.5,5,2.386687816,0.045317463,100000,0,1000,1,3.125,0.864,0.0432,445.0033044,40.51436191,0.036925517,0.015382163,0.023383677,0.010553685,514.6904305,0.005652989,0.08421615,0.006109818,0.003393826,0.072549248,0.0544853,0.152469278,2.303251908,0.015756236,0.014597311,8.581495269,0.000657476,0.046206515,0.162613149,0.000773291,0.164032359,0.167332005,6.03,0.111981433,0.198019721,0.162422444,0.11825842,0.059376604,0.014697656,0.119092076,6.73E-06,6.73E-06,1.63503,2.91858,1.39301
1,3,2,1,2,1,1,2,12.5,5,2.386687816,0.045317463,100000,0,1000,1,3.125,0.864,0.0432,445.0033044,40.51436191,0.036925517,0.015382163,0.023383677,0.010553685,514.6904305,0.005652989,0.336864602,0.024439274,0.013575305,0.072549248,0.8717648,0.609877113,2.303251908,0.063024943,0.058389242,8.581495269,0.002629905,0.184826062,0.650452597,0.003093164,0.656129434,0.167332005,6.03,0.447925732,0.792078884,0.649689776,0.47303368,0.237506415,0.058790625,0.412811469,2.33E-05,2.33E-05,3.0846,6.1831,2.10676
1,3,2,1,2,1,1,2,12.5,5,2.386687816,0.045317463,100000,0,1000,1,3.125,0.864,0.0432,445.0033044,40.51436191,0.036925517,0.015382163,0.023383677,0.010553685,514.6904305,0.005652989,0.589513053,0.042768729,0.023756784,0.072549248,2.669779702,1.067284948,2.303251908,0.11029365,0.102181174,8.581495269,0.004602334,0.323445608,1.138292045,0.005413036,1.14822651,0.167332005,6.03,0.783870031,1.386138047,1.136957109,0.82780894,0.415636227,0.102883594,0.765509527,4.33E-05,4.33E-05,20.9442,22.9031,16.9059
1,3,2,1,2,1,1,2,12.5,5,2.386687816,0.045317463,100000,0,1000,1,3.125,0.864,0.0432,445.0033044,40.51436191,0.036925517,0.015382163,0.023383677,0.010553685,514.6904305,0.005652989,0.842161505,0.061098184,0.033938263,0.072549248,5.448530003,1.524692782,2.303251908,0.157562358,0.145973106,8.581495269,0.006574763,0.462065155,1.626131493,0.007732909,1.640323585,0.167332005,6.03,1.11981433,1.98019721,1.624224441,1.1825842,0.593766038,0.146976563,1.042749285,5.89E-05,5.89E-05,43.6577,32.7498,31.0792
1,3,2,1,2,1,1,2,12.5,5,2.386687816,0.045317463,100000,0,1000,1,3.125,0.864,0.0432,445.0033044,40.51436191,0.036925517,0.015382163,0.023383677,0.010553685,514.6904305,0.005652989,1.094809956,0.079427639,0.044119742,0.072549248,9.208015705,1.982100617,2.303251908,0.204831065,0.189765037,8.581495269,0.008547192,0.600684701,2.113970941,0.010052782,2.132420661,0.167332005,6.03,1.455758629,2.574256373,2.111491773,1.53735946,0.77189585,0.191069532,1.464069095,8.28E-05,8.28E-05,65.9287,49.8716,55.3158
